리뷰번호,리뷰작성일시,작성자종류,주문번호,리뷰평점,상품명,상품코드,리뷰내용,지급완료적립금액,구매옵션,작성플랫폼
6252,2024-06-14 19:41,NPAY 비회원,20240606-0000595-01,3,하울오닉스 나이트스톤,P0000CBL,아주 맘에 쏙 들고 좋은데요. 살짝 아쉬운것이 연결부분에 자석이 좀---  차라리 고리가 좋을듯합니다.,600,M,알파리뷰
6253,2024-06-14 21:02,회원,20240611-0000146-01,5,채운옥 퓨어스톤,P0000BXO,"행운이랑 원하는 소원 다 이루어져요!!!ㅎㅎ
디자인도 이쁘고 너무 이뻐요 ",600,M,알파리뷰
6257,2024-06-15 2:46,시스템수집,,5,호안오닉스 팬텀골드,P0000BWS,"
	여친이 예쁘다고 너무 좋아합니다

				
				
(2024-06-14 09:49:53 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6258,2024-06-15 3:00,시스템수집,,5,호안오닉스 팬텀골드,P0000BWS,"
	2번째 구매에요 대 만족입니다

				
				
(2024-06-14 11:45:53 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6262,2024-06-15 19:49,NPAY 비회원,20240609-0000095-01,5,호안오닉스 가디언스톤,P0000CBM,디자인 너무 좋고 이쁜데.. 자석이라서 잃어버릴까봐 조심히 사용중입니다^^,1100,L,알파리뷰
6264,2024-06-15 20:39,비회원,20240611-0000377-01,1,호안오닉스 가디언스톤,P0000CBM,배송 받은 첫날 분실함.. 자석이 나무 약합니다,600,XL,알파리뷰
6265,2024-06-15 22:01,NPAY 비회원,20240610-0000810-01,1,호안오닉스 가디언스톤,P0000CBM,자석이 약해요,300,L,알파리뷰
6270,2024-06-18 19:34,NPAY 비회원,20240613-0000489-01,1,자마노 레브스톤 목걸이,P0000BQL,제가 너무 절 과소평가했네요 ,600,Free,알파리뷰
6278,2024-06-18 23:51,회원,20240607-0000012-01,5,호안오닉스 팬텀골드,P0000BWS,커플템 굳,300,L,알파리뷰
6279,2024-06-19 2:45,시스템수집,,5,레브 윈스톤 세트 4mm,P0000BLO,휘뚜루마뚜루 잘 끼고 다니고 있습니다(2024-06-18 11:08:59 에 등록된 네이버 페이 구매평),0, ,CAFE24
6280,2024-06-19 2:51,시스템수집,,5,호안오닉스 스테디스톤,P0000BPM,만족합니다. 빠른배송 감사합니다(2024-06-18 18:20:33 에 등록된 네이버 페이 구매평),0, ,CAFE24
6282,2024-06-19 14:29,회원,20240617-0000213-01,5,화이트쉘 아멘티스톤,P0000BLC,"디자인도 너무 이쁘고 행운 마구마구 찾아올거같아요
스트레스 치유 되는거 같고 일단 너무 이쁘네여",600,M,알파리뷰
6283,2024-06-19 15:20,회원,20240618-0000031-01,5,호안오닉스 카네스톤,P0000BBQ,"진짜 고급스러워요 
가족 전부꺼 사서 낄 예정입니다 ㅎㅎㅎㅎ 
고민하지 마시고 무조건 구매하셔서 다들 좋은일만 가득하셨으면 좋겠습니다:)ㅎㅎㅎ 
강추강추
",1100,S,알파리뷰
6286,2024-06-19 19:43,NPAY 비회원,20240617-0000936-01,1,호안오닉스 가디언스톤,P0000CBM,자석이라 잃어버리겠네요,600,L,알파리뷰
6289,2024-06-19 20:28,회원,20240617-0001344-01,3,호안오닉스 가디언스톤,P0000CBM,자석이 별로 강하지 않은것같아서 불안합니다.,600,XL,알파리뷰
6294,2024-06-20 2:45,시스템수집,,5,호안석 골드 플렌티스톤,P0000BPL,"사진과 동일하며, 사이즈도 잘 맞네요(2024-06-19 11:56:16 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6296,2024-06-20 17:42,비회원,20240617-0000992-01,1,호안오닉스 가디언스톤,P0000CBM,"디자인은 참 맘에 드는데....자석이 너무 약하네요
툭하면 풀려서 떨어지길.....집에 모셔놔야 할 듯",600,L,알파리뷰
6297,2024-06-20 20:22,회원,20240607-0000211-01,5,호안오닉스 가디언스톤,P0000CBM,"좋습니다, 부모님 드릴려고 추가 구매했습니다",600,XL,알파리뷰
6299,2024-06-20 22:42,회원,20240618-0001246-01,5,호안석 트레스톤,P0000BHB,배송 빨라서 좋았고 포장 고급스럽고 앞으로 좋은 일 생기길 바라는 기대에 왠지 기분이 좋아지네요,1100,L,알파리뷰
6302,2024-06-21 19:44,비회원,20240619-0000434-01,5,호안오닉스 미스틱아이언,P0000BWH,팔찌 뜻이 좋아서 기운받으려고 구매했습니다! 직업특성상 물이 많이 닿아서 실버가 없는 제품으로 정했는데 조심하면서 함께 해보려구요ㅎㅎ s 사이즈도 괜찮았을 것 같긴한데 편하고 좋아요! 좋은제품 보내주셔서 감사합니다:),1100,M,알파리뷰
6305,2024-06-22 3:13,시스템수집,,5,호안오닉스 가디언스톤,P0000CBM,"
	가볍고 이쁘고 좋네요 !

				
				
(2024-06-21 13:18:56 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6306,2024-06-22 3:27,시스템수집,,5,아이아게이트 디오스톤,P0000BGY,"
	예쁘네요. 좀 얇은, 가느다란 느낌은 있어요. 손목에 딱 맞아요. 눈에 많이 뜨지 않고 시크해 보이네요. 좀 아쉽기도 하고.

				
				
				
				
(2024-06-21 15:21:48 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6307,2024-06-22 17:16,회원,20240618-0000112-04,5,흑요석 큐어스톤,P0000BPN,만족스럽습니다! 처음에 하나 구매하고 마음에 들어서 한번에 4개 구매..했습니다.!ㅎ;;;^^),1100,M,알파리뷰
6308,2024-06-22 17:16,회원,20240618-0000112-03,5,블랙가드 마제스톤 세트,P0000BPH,좋았습니다 한번에 두가지를 세트로 구매할 수 있어서 만족합니다^^)이건 두개 한 번에 껴야지 맛이긴 해?ㅎㅎㅎ,1100,L,알파리뷰
6309,2024-06-22 17:28,회원,20240618-0000112-02,5,호안석 골드 플렌티스톤,P0000BPL,요거는 금이 포함 되어있는게 뽀인토!!!🤔음음🙂‍↕️그래서 하나 또 비슷한거로 구매 한 이유이기도 합니다!!^^)ㅎ 이뻐요ㅎㅎ,1100,L,알파리뷰
6310,2024-06-22 17:31,회원,20240618-0000112-01,5,호안석 엘도라도 목걸이,P0000BXH,"이건 목걸이라서 끼고 찍는 것 보다 바로 찍는게 더 이쁘고 나을 것 같아서요!^^)ㅎ 고냥 분위기 압살입니다ㅎㅎ 좋아용!!
+그래도 하나 끼고 찍어 올려 봅니다^^)😆><ㅎㅎ",1100,Free,알파리뷰
6314,2024-06-23 2:51,시스템수집,,5,호안오닉스 가디언스톤,P0000CBM,이뻐요~~자석 연결이 편하긴 한데 잘 옷에 살짝만 걸려도 잘 풀려서 걱정이 좀 되네요(2024-06-22 20:03:04 에 등록된 네이버 페이 구매평),0, ,CAFE24
6315,2024-06-23 18:17,회원,20240601-0000166-01,5,호안오닉스 가디언스톤,P0000CBM,너무만족합니다일단사보세요,600,L,알파리뷰
6316,2024-06-23 19:38,NPAY 비회원,20240614-0000297-02,4,호안오닉스 가디언스톤,P0000CBM,디자인 크기 모두 대만족 하였는데 아니나 다를까 자석이 불안하였는데 착용 3일만에 식당에서 저녁먹고 나오니 사라지고 없네요...  자석채움이 편하고 이쁘지만 약한편입니다.  분실방지 줄이라도 추가하여야 할듯 하네요...,600,L,알파리뷰
6318,2024-06-18 14:27,시스템수집,,5,호안석 골드 플렌티스톤,P0000BPL,맘에들어요 사진이랑 똑같아요,0, ,CAFE24
6319,2024-06-24 2:44,시스템수집,,5,호안오닉스 가디언스톤,P0000CBM,"디자인이나 구성은 맘에 듭니다. 
잠금장치 자석이 좀 허술하네요.. 자꾸 떨어짐.. 
잃어버리기 딱 좋네요. 마눌님 사준지 하루만에 분실.. ㅠㅠ 자석으로 잠금장치 되있으니 
분실하기 딱좋음.. 개선되면 좋겠습니다.(2024-06-23 12:40:54 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6320,2024-06-24 2:48,시스템수집,,5,자마노 레브스톤 4mm,P0000BLN,귀엽고 앙증맞고 레이어드 하기에 딱이에요^^(2024-06-23 19:51:31 에 등록된 네이버 페이 구매평),0, ,CAFE24
6321,2024-06-25 2:40,시스템수집,,5,호안오닉스 가디언스톤,P0000CBM,디자인이 예쁘고 맘에 들어요(2024-06-24 00:17:04 에 등록된 네이버 페이 구매평),0, ,CAFE24
6322,2024-06-25 2:46,시스템수집,,5,리체 마제스톤 세트,P0000BPJ,2차 구매인데 매우 만족합니다.(2024-06-24 12:28:26 에 등록된 네이버 페이 구매평),0, ,CAFE24
6323,2024-06-25 2:51,시스템수집,,5,채운옥 퓨어스톤,P0000BXO,아주 예쁘고 맘에 듭니다 ㅋㅋㅋ(2024-06-24 18:22:47 에 등록된 네이버 페이 구매평),0, ,CAFE24
6330,2024-06-25 23:11,회원,20240623-0000787-01,1,호안석 골드 플렌티스톤,P0000BPL,꿀기사이즈다안맏네요난6미리L사이즈주문했는되4미리s아님m사이즈왔네요,600,L,알파리뷰
6331,2024-06-26 2:40,시스템수집,,5,호안오닉스 팬텀골드,P0000BWS,이런 팔찌 원했습니다. 너무 이쁘네요 ㅎ(2024-06-25 02:11:06 에 등록된 네이버 페이 구매평),0, ,CAFE24
6332,2024-06-26 2:46,시스템수집,,4,호안오닉스 팬텀골드,P0000BWS,만족히 사용할 예정입니다.(2024-06-25 13:06:04 에 등록된 네이버 페이 구매평),0, ,CAFE24
6334,2024-06-26 2:47,시스템수집,,5,오닉스 케어스톤,P00000TX,재구매의사있습니다.(2024-06-25 15:41:43 에 등록된 네이버 페이 구매평),0, ,CAFE24
6337,2024-06-26 20:33,회원,20240625-0000018-01,5,호안오닉스 카네스톤,P0000BBQ,손목에 차고 있는 것만으로도 부자가 된 기분이에요~넘넘 잘 살것 같아요,600,L,알파리뷰
6338,2024-06-27 10:00,NPAY 비회원,20240621-0000465-01,4,호안오닉스 가디언스톤,P0000CBM,디자인이 너무 맘에들어서 구입하였습니다. 그러나 자석연결부분이 자꾸 떨어지는 현상이 발생하네요..ㅠㅠ 착용 후 일상생활 하다 보면 언제 풀려서 잃어버릴지 걱정 되어 아쉽지만 반품 하렵니다. ,600,L,알파리뷰
6339,2024-06-27 11:53,NPAY 비회원,20240621-0000483-01,1,호안오닉스 가디언스톤,P0000CBM,"자석이 넘 잘떨어져요ᆢ금방 분실 할거 같네요
혹 방법이 없을까요?",600,XL,알파리뷰
6340,2024-06-27 17:46,회원,20240625-0000291-01,3,호안오닉스 가디언스톤,P0000CBM,잠금장치 자석이 너무 헐거워요,600,M,알파리뷰
6341,2024-06-27 22:36,비회원,20240626-0000139-01,5,호안오닉스 카네스톤,P0000BBQ,빠른배송 좋아요 다시주문할께요 번창하세요 ㅎㅎㅎ ,600,L,알파리뷰
6342,2024-06-27 22:36,비회원,20240626-0000139-02,5,호안오닉스 카네스톤,P0000BBQ,빠른배송 좋아요 다시주문할께요 번창하세요 ㅎㅎㅎ ,600,XL,알파리뷰
6346,2024-06-29 2:39,시스템수집,,5,호안오닉스 가디언스톤,P0000CBM,"
	여름에 시원하게 보여서 좋네요~

				
				
(2024-06-28 07:10:08 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6347,2024-06-29 14:07,회원,20240624-0000124-01,5,오닉스 소브스톤,P0000BNC,"3일째 착용하고있는데 사이즈도 딱 맞고 힘의 기운이 느껴지는거 같아요
잘 착용하고 다닐게요~",600,S,알파리뷰
6348,2024-06-30 2:41,시스템수집,,5,호안석 골드 플렌티스톤,P0000BPL,적당한 사이즈로 부담스럽지않고 좋네요~(2024-06-29 06:46:14 에 등록된 네이버 페이 구매평),0, ,CAFE24
6352,2024-07-02 2:47,시스템수집,,4,호안오닉스 가디언스톤,P0000CBM,"디자인도 색상도 좋습니다.
단 연결부위가 자석으로 되어있어
잘 떨어져 분실위험이 높음(2024-07-01 13:30:50 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6353,2024-07-02 2:54,시스템수집,,3,호안오닉스 팬텀골드,P0000BWS,"
	착용해보니 한개 혹은 두개가 빠진것처럼 보이네요.

				
				
(2024-07-01 11:17:05 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6358,2024-07-03 11:57,회원,20240627-0001000-01,5,호안오닉스 가디언스톤,P0000CBM,"너무 마음에 듭니다
평소 악세서리에 관심은 있었지만 사진을보고 구매하면
마음에 않들어 했는데 이 호안석은 정말 색도 잘나오고
마음에 쏙 듭니다.
다른 제품 재구매 의사 100% 입니다~~^^",300,자석/S,알파리뷰
6359,2024-07-03 19:02,회원,20240628-0000401-01,5,호안오닉스 스테디스톤,P0000BPM,사이즈가 고민이라 상딤해서 구매했는데 손목에 착 감기는게 착용감도 좋고 디자인도 이쁘네요^^,1100,L,알파리뷰
6361,2024-07-03 19:29,회원,20240630-0000525-01,4,호안오닉스 카네스톤,P0000BBQ,만족합니다 ,300,L,알파리뷰
6366,2024-07-03 22:08,회원,20240630-0000658-01,5,자마노 레브스톤 4mm,P0000BLN,제품도 이쁘고 포장도 훌륭합니다. 선물용으로도 좋을 것 같아요♡,600,L,알파리뷰
6368,2024-07-04 3:43,시스템수집,,5,호안오닉스 가디언스톤,P0000CBM,"
	이뻐요
자석이 조금더 자력좋앟음 하네요

				
				
(2024-07-03 19:25:08 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6370,2024-07-04 13:39,NPAY 비회원,20240628-0000942-01,3,호안오닉스 가디언스톤,P0000CBM,마음에 듭니다 ,800,토글바/L,알파리뷰
6371,2024-07-04 19:27,NPAY 비회원,20240702-0000179-02,5,호안오닉스 팬텀골드,P0000BWS,"너무이쁩니다!
선물받은사람도
하는사람도
모두가행복합니다",1100,XXL,알파리뷰
6373,2024-07-04 19:48,비회원,20240701-0000797-01,1,호안오닉스 가디언스톤,P0000CBM,마감이 아쉬워요 ㅠㅠㅠ,600,자석/L,알파리뷰
6374,2024-07-04 20:10,회원,20240630-0000861-01,5,호안석 골드 플렌티스톤,P0000BPL,"호안석 골드 플렌티스톤 아주 고급스럽고 멋지네요
잘 착용 하겠습니다 감사합니다",1100,M,알파리뷰
6375,2024-07-05 2:47,시스템수집,,5,호안 헬리오스 아우라 세트,P0000BWR,제품이 좋습니다 아주 만족합니다(2024-07-04 14:15:17 에 등록된 네이버 페이 구매평),0, ,CAFE24
6377,2024-07-05 19:18,회원,20240702-0000152-01,5,호안오닉스 가디언스톤,P0000CBM,디자인이 예쁘네요 만족합니다,600,자석/S,알파리뷰
6378,2024-07-05 19:30,회원,20240703-0000654-01,5,자마노 레브스톤 목걸이,P0000BQL,"색깔도 이쁘고 일단 복이 마구마구 들어올거 같아요
특별한 날이 착용하면 더 이쁠거같아요
너무 이뻐요",600,Free,알파리뷰
6384,2024-06-23 11:12,시스템수집,,1,호안오닉스 가디언스톤,P0000CBM,"제품자체는 이쁘나 너무잘풀림 자석으로되있어서 
몇번착용하다 그냥 걸어둠",0, ,CAFE24
6387,2024-07-07 2:50,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,꼼꼼하게 잘되어있어요  디자인 예뻐요(2024-07-06 17:43:39 에 등록된 네이버 페이 구매평),0, ,CAFE24
6388,2024-07-07 19:19,NPAY 비회원,20240704-0000312-01,5,호안오닉스 카네스톤,P0000BBQ,디자인 예쁘네요  꼼꼼하네요,600,M,알파리뷰
6389,2024-06-30 17:56,시스템수집,,4,자마노 레브스톤 4mm,P0000BLN,굵기가 쫌 약해서 좀 아쉬웠지만그래도 받아서 만족하게잘 착용하고 다닙니다,0, ,CAFE24
6392,2024-07-09 18:47,회원,20240705-0000226-01,5,레브스톤 포르테스톤 세트 4mm,P0000BLS,너무 이쁘고 액운다 막아주고 행운만 가득할거 같아요,600,M,알파리뷰
6393,2024-07-09 18:48,회원,20240705-0000521-01,5,오닉스 포르테스톤 목걸이,P0000BQH,너무 디자인도 이쁘고 실버랑 레이어드로 차도 이쁘네요,600,Free,알파리뷰
6395,2024-07-09 19:28,NPAY 비회원,20240706-0000563-01,5,블랙가드 마제스톤 세트,P0000BPH,깔끔해서 좋습니다.,600,L,알파리뷰
6397,2024-07-09 19:44,NPAY 비회원,20240706-0000681-01,5,아이아게이트 디오스톤,P0000BGY,괜찮습니다.사이즈 살짝 작은 느낌이네 대략 만족하네요,1100,M,알파리뷰
6401,2024-07-10 8:37,회원,20240704-0000392-01,5,호안오닉스 스테디스톤,P0000BPM,너무 마음에 드네요. 다른 제품도 조만간 추가 구매하려구요. 의미도 있어서 좋네요.,1100,XL,알파리뷰
6407,2024-07-10 22:32,회원,20240707-0000685-01,5,블랙가드 마제스톤 세트,P0000BPH,"튀지않은 뭔가 아무때고 아무옷에나 잘 어울릴 법한
그래서 다른 디자인도 생각해보려구요 맘에듭니다 ㅋ",1100,XL,알파리뷰
6410,2024-07-11 0:04,NPAY 비회원,20240708-0000628-01,5,오닉스 볼드스톤,P0000BWL,디자인이랑 패키지 너무 너무~~~~~ 예쁘고 배송도 엄청 빠릅니다!! 만족합니다!!!! 감사합니다!! 😍😍😊,1100,L,알파리뷰
6411,2024-07-11 5:34,회원,20240708-0000211-01,5,호안오닉스 카네스톤,P0000BBQ,"만족하나 고급형이 있어 교체 구입하려함
",600,L,알파리뷰
6413,2024-07-11 19:33,NPAY 비회원,20240709-0000306-01,5,호안오닉스 가디언스톤,P0000CBM,예쁘고 마음에 들어요 손목에도 착붙입니다,1100,토글바/M,알파리뷰
6417,2024-07-11 20:08,회원,20240625-0000451-02,1,호안오닉스 가디언스톤,P0000CBM,"자석이 약해서 엘리베이터에서 내리다 분실했습니다
자석은 마음놓고 차고다니기 어려움",300,M,알파리뷰
6418,2024-07-12 19:58,회원,20240710-0000130-01,5,터키오닉스 윈스톤,P0000BLB,"실물이 진짜 너어무 이쁘네요 여기서 산 팔찌랑 레어이드해서 차니까 더 이뻤어요 행운이 마구마구 찾아올거같아요
행운 다 내꺼",600,M,알파리뷰
6424,2024-07-15 1:22,비회원,20240712-0000041-01,5,호안오닉스 카네스톤,P0000BBQ,너무 이뻐용,300,M,알파리뷰
6426,2024-07-13 2:56,시스템수집,,5,아이아게이트 디오스톤,P0000BGY,"
	다소 작은 느낌이 있지만 만족하고 잘 사용합니다

				
				
(2024-07-12 11:35:49 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6427,2024-07-13 3:41,시스템수집,,5,디펜 마제스톤 세트,P0000BPK,"
	이뻐요 고급지고 포장도 아주 잘 되어있어서 선물용으로도 좋을꺼 같아요

				
				
				
				
(2024-07-12 18:28:34 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6428,2024-07-13 2:42,시스템수집,,4,호안오닉스 가디언스톤,P0000CBM,손목에 착 붙어서 너무 너무 맘에 들어요(2024-07-12 08:36:19 에 등록된 네이버 페이 구매평),0, ,CAFE24
6429,2024-07-14 3:46,시스템수집,,5,호안오닉스 팬텀골드,P0000BWS,"
	깔끔한 디자인과 착용감이 좋습니다

				
				
(2024-07-13 20:41:25 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6430,2024-07-16 3:00,시스템수집,,5,호안헤마 페르스톤,P0000BWD,"
	아주 만족합니다.손목이 거뜬하네요 ㅎㅎㅎ

				
				
(2024-07-15 12:54:14 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6431,2024-07-16 7:49,회원,20240711-0000224-01,5,호안오닉스 가디언스톤,P0000CBM,눈에 많이 뜨이지도 않고 의미도 있어 마음에 쏙 듬,600,토글바/XL,알파리뷰
6432,2024-07-16 14:40,회원,20240706-0000205-01,5,호안오닉스 팬텀골드,P0000BWS,"이뻐요.
손목17.5 인데 L 샀더니 잘 맞네요",1100,XL,알파리뷰
6433,2024-07-16 19:32,NPAY 비회원,20240712-0000533-01,1,호안오닉스 가디언스톤,P0000CBM,"자석이 튼튼하게 안붙어서 자꾸 떨어져요
",600,자석/L,알파리뷰
6438,2024-07-03 11:34,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,"전 두번째 구매입나다
예쁘고 너무 좋아요 강추합니다",0, ,CAFE24
6439,2024-07-17 2:42,시스템수집,,5,골드자마노 루미나스톤,P0000BXR,"선물하려고 구매했어요 디자인, 색상 아주 만족합니다 선물 받는 사람도 좋아할거 같아요(2024-07-16 09:33:55 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6440,2024-07-17 2:51,시스템수집,,5,호안오닉스 헬리오스,P0000BWP,차 기어봉에 걸어두었는데 좋아요(2024-07-16 18:11:56 에 등록된 네이버 페이 구매평),0, ,CAFE24
6442,2024-07-17 19:15,회원,20240715-0000371-01,5,터키석 수에르스톤 목걸이,P0000BQJ,이뻐요. 다른펜던트로 하니 굿굿,600,Free,알파리뷰
6447,2024-07-18 2:47,시스템수집,,3,호안오닉스 가디언스톤,P0000CBM,"자석이 너무 약해 움직임이 많은 팔에는 부족함. 

찬지 6시간만에 어디서 떨어져나가서 잃어버림.(2024-07-17 14:58:48 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6455,2024-07-20 2:41,시스템수집,,5,오닉스 포르테스톤,P0000BFW,잃어버려서 재구매했어요 마음에 듭니다(2024-07-19 01:10:01 에 등록된 네이버 페이 구매평),0, ,CAFE24
6461,2024-07-23 2:45,시스템수집,,5,블랙크리스탈 다크아우라,P0000BWQ,상당히 고급스럽고 너무 좋아요(2024-07-22 10:13:26 에 등록된 네이버 페이 구매평),0, ,CAFE24
6462,2024-07-23 19:40,회원,20240721-0000482-01,5,호안오닉스 팬텀골드,P0000BWS,"우연히 본 광고에 빠져 구매했습니다~
너무 이쁘고 만족하는 제품이네요 곧 추가 주문 할거 같아요",1100,L,알파리뷰
6466,2024-07-24 2:46,시스템수집,,5,호안석 골드 플렌티스톤,P0000BPL,세번째 구매 입니다.좋아서 구입하는데 단점은 줄이 잘 끊어져서 문제네요.(2024-07-23 12:00:39 에 등록된 네이버 페이 구매평),0, ,CAFE24
6469,2024-07-25 3:23,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,"
	빠른배송에 왠지 행운이 따르는 부적 같은 상징이네요

				
				
(2024-07-24 16:06:26 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6471,2024-07-26 2:45,시스템수집,,5,호안오닉스 팬텀골드,P0000BWS,착용감이 좋고 왠지 좋은일만 있을거 같네요(2024-07-25 10:51:29 에 등록된 네이버 페이 구매평),0, ,CAFE24
6472,2024-07-26 2:45,시스템수집,,5,호안오닉스 팬텀골드,P0000BWS,착용감이 좋고 왠지 좋은일만 있을거 같네요(2024-07-25 10:51:15 에 등록된 네이버 페이 구매평),0, ,CAFE24
6483,2024-07-26 3:19,시스템수집,,2,자마노 레브스톤 4mm,P0000BLN,"
	화면하고는 좀 어두운 색상이라 아숩네요ㅜ

				
				
(2024-07-25 16:57:45 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6484,2024-07-27 2:53,시스템수집,,5,호안석 트레스톤,P0000BHB,색상이 이뻐서 좋아요(2024-07-26 23:43:25 에 등록된 네이버 페이 구매평),0, ,CAFE24
6485,2024-07-28 2:40,시스템수집,,4,하울오닉스 나이트스톤,P0000CBL,"개봉해서 예뻐서 만족했는데, 30분도 안되서 손목에 보니 없어서... 언제 발견할지 모르겠습니다; ㅋㅋㅋ 자석이 탈착이 쉬운건 좋은데.. 알게 모르게 사라지는구나..(2024-07-27 00:49:31 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6486,2024-07-27 2:59,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,"
	착용감 좋구 크기가 적당하고 좋아요 
친구랑 같이 하려고 구매했는데 친구도 만족하네요

				
				
(2024-07-26 12:18:04 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6487,2024-07-27 2:59,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,"
	디자인도 좋구 착용감도 괜찮네요
너무 튀지도 않고 크기도 적당해요
다른거랑 같이해도 좋을거 같아요

				
				
(2024-07-26 12:16:18 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6507,2024-08-02 2:50,시스템수집,,1,호안헤마 페르스톤,P0000BWD,날이 덥고 습해지니 파란 물이 더 많이 묻어나네요... ㅠ(2024-08-01 21:09:10 에 등록된 네이버 페이 구매평),0, ,CAFE24
6510,2024-08-02 9:35,회원,20240731-0000030-01,2,레브 윈스톤 세트 4mm,P0000BLO,"사진의 이미지와 색상도 다르고 너무 작아서 
손이안가네요 ㅠㅠ",600,M,알파리뷰
